,supplier,tariff_name,supply_region,plan_type,discount,duration,standing_charge,el_pso_levy,day_unit,peak_unit,night_unit,ev_unit,ev_overage_unit,ev_kwh_limit,fit_unit,extra,cash_bonus,update_date,gas_discount,gas_standing_charge,gas_unit_rate,gas_carbon_tax
26,FloGas,24 Hour Dual Fuel Smart 30%,urban dual,smart,0.3000,12 months,237.227600,42.248400,24.5533400000,24.5533400000,24.5533400000,,,,18.5000,[],0.000000,2025-06-10,0.3000,151.193900,7.8665300000,1.251320
27,FloGas,24 Hour Dual Fuel Smart 30%,rural dual,smart,0.3000,12 months,289.329600,42.248400,24.5533400000,24.5533400000,24.5533400000,,,,18.5000,[],0.000000,2025-06-10,0.3000,151.193900,7.8665300000,1.251320
20,FloGas,24 Hour Smart 30% Discount,urban,smart,0.3000,12 months,237.227600,42.248400,24.5533400000,24.5533400000,24.5533400000,,,,18.5000,[],0.000000,2025-06-10,,,,
21,FloGas,24 Hour Smart 30% Discount,rural,smart,0.3000,12 months,289.329600,42.248400,24.5533400000,24.5533400000,24.5533400000,,,,18.5000,[],0.000000,2025-06-10,,,,
76,Yuno,24h Yuno Variable Discount,urban,smart,0.0000,12 months,219.220800,42.248400,31.3266000000,31.3266000000,31.3266000000,,,,15.8900,[],200.004100,2025-05-14,,,,
77,Yuno,24h Yuno Variable Discount,rural,smart,0.0000,12 months,274.919800,42.248400,31.4465000000,31.4465000000,31.4465000000,,,,15.8900,[],200.004100,2025-05-14,,,,
82,Yuno,Day/Night Dual Fuel Variable,urban dual,smart,0.0000,12 months,180.940000,42.248400,27.6206000000,27.6206000000,16.4699000000,,,,15.8900,[],0.000000,2025-05-14,0.0000,150.027600,7.8480000000,1.251320
83,Yuno,Day/Night Dual Fuel Variable,rural dual,smart,0.0000,12 months,262.145000,42.248400,27.6206000000,27.6206000000,16.4699000000,,,,15.8900,[],0.000000,2025-05-14,0.0000,150.027600,7.8480000000,1.251320
86,Yuno,Day/Night Dual Fuel Variable Bonus,urban dual,smart,0.0000,12 months,247.942300,42.248400,34.1606000000,34.1606000000,20.6446000000,,,,15.8900,[],320.002200,2025-05-14,0.0000,150.027600,8.2186000000,1.251320
87,Yuno,Day/Night Dual Fuel Variable Bonus,rural dual,smart,0.0000,12 months,335.829000,42.248400,34.1933000000,34.1933000000,20.9716000000,,,,15.8900,[],320.002200,2025-05-14,0.0000,150.027600,8.2186000000,1.251320
